course_name,platform,course_rating,skills
Machine Learning Specialization,Coursera,4.9,Python Machine Learning Data Science
Complete Web Development Bootcamp,Udemy,4.8,HTML CSS JavaScript React Node.js
Data Science Professional Certificate,Coursera,4.8,Python SQL Data Analysis Tableau
AWS Certified Solutions Architect,A Cloud Guru,4.7,Cloud Computing AWS Architecture
Advanced Product Management,LinkedIn Learning,4.6,Product Management Strategy Agile
Financial Modeling & Valuation,Wall Street Prep,4.9,Finance Excel Valuation Modeling
Business Analytics Specialization,Coursera,4.8,Analytics SQL Data Visualization
Google Project Management,Coursera,4.9,Project Management Agile Scrum
UI/UX Design Specialization,Coursera,4.8,Figma UI UX Design Prototyping
Full-Stack Engineering Path,Codecademy,4.7,JavaScript React Node MongoDB
