job_title,company_name,job_description
Data Scientist,Google,"Looking for a data scientist proficient in Python, Machine Learning, and statistical analysis to drive product decisions."
Software Engineer,Amazon,"Seeking a full-stack software engineer with experience in React, Node.js, and AWS to build scalable web applications."
Management Consultant,Bain & Company,"Requires strong analytical skills, business acumen, and the ability to solve complex strategic problems using MECE frameworks."
Product Manager,Zomato,"Seeking a PM who can drive user growth, define metrics, and work closely with engineering teams in a fast-paced environment."
Financial Analyst,Goldman Sachs,"Looking for analysts with strong financial modeling skills, proficiency in Excel, and an understanding of market trends."
Cloud Architect,Microsoft,"Experience with Azure or AWS required. Responsible for designing cloud infrastructure and leading migration strategies."
Business Analyst,McKinsey & Company,"Must have excellent communication skills, SQL knowledge, and the ability to translate data into actionable business insights."
Frontend Developer,Swiggy,"Looking for a talented UI developer skilled in HTML, CSS, JavaScript, and modern frameworks like React or Vue."
HR Manager,Deloitte,"Seeking an experienced HR professional to handle talent acquisition, employee relations, and organizational development."
Machine Learning Engineer,Flipkart,"Requires deep knowledge of deep learning frameworks (TensorFlow/PyTorch) and experience deploying models to production."
